Field;ID;Type (Type);default;en-us;en-uk;de-at;de-de
Description;2;Text;MJPEG Streamer - Stream USB and built-in Camera as MJPEG streams remotely. It creates similar HTTP based MJPEG streams as the linux based MJPEG streamer.;MJPEG Streamer - Stream USB and built-in Camera as MJPEG streams remotely. It creates similar HTTP based MJPEG streams as the linux based MJPEG streamer.;MJPEG Streamer - Stream USB and built-in Camera as MJPEG streams remotely. It creates similar HTTP based MJPEG streams as the linux based MJPEG streamer.;MJPEG Streamer - Stream USB and built-in Camera as MJPEG streams remotely. It creates similar HTTP based MJPEG streams as the linux based MJPEG streamer.;MJPEG Streamer - Stream USB and built-in Camera as MJPEG streams remotely. It creates similar HTTP based MJPEG streams as the linux based MJPEG streamer.
ReleaseNotes;3;Text;Initial release, tested on NUC, Surface Pro 2 and 5 with internal cameras and USB Cameras Microsoft LifeCam,  ELP1080p;Initial release, tested on NUC, Surface Pro 2 and 5 with internal cameras and USB Cameras Microsoft LifeCam,  ELP1080p;Initial release, tested on NUC, Surface Pro 2 and 5 with internal cameras and USB Cameras Microsoft LifeCam,  ELP1080p;Initial release, tested on NUC, Surface Pro 2 and 5 with internal cameras and USB Cameras Microsoft LifeCam,  ELP1080p;Initial release, tested on NUC, Surface Pro 2 and 5 with internal cameras and USB Cameras Microsoft LifeCam,  ELP1080p
Title;4;Text;MJPEG Streamer App for Windows 10;MJPEG Streamer App for Windows 10;MJPEG Streamer App for Windows 10;MJPEG Streamer App for Windows 10;MJPEG Streamer App for Windows 10
ShortTitle;5;Text;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer
SortTitle;6;Text;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer
VoiceTitle;7;Text;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer;MJPEG Streamer
ShortDescription;8;Text;Stream device and USB cameras via HTTP MJPEG Streaming;Stream device and USB cameras via HTTP MJPEG Streaming;Stream device and USB cameras via HTTP MJPEG Streaming;Stream device and USB cameras via HTTP MJPEG Streaming;Stream device and USB cameras via HTTP MJPEG Streaming
DevStudio;9;Text;flyinggorilla;flyinggorilla;flyinggorilla;flyinggorilla;flyinggorilla
SupportContactInfo;10;URL or email address;;;;;
PrivacyPolicyUrl;11;URL;;;;;
CopyrightTrademarkInformation;12;Text;MIT license;MIT license;MIT license;MIT license;MIT license
AdditionalLicenseTerms;13;Text;;;;;
Website;14;URL;;;;;
DesktopScreenshot1;100;Relative path (or URL to file in Dev Center);screenshotstreaming.png;screenshotstreaming.png;screenshotstreaming.png;screenshotstreaming.png;screenshotstreaming.png
DesktopScreenshot2;101;Relative path (or URL to file in Dev Center);screenshotsettings.png;screenshotsettings.png;screenshotsettings.png;screenshotsettings.png;screenshotsettings.png
DesktopScreenshot3;102;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshot4;103;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshot5;104;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshot6;105;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshot7;106;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshot8;107;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshot9;108;Relative path (or URL to file in Dev Center);;;;;
DesktopScreenshotCaption1;150;Text;Live preview of HTTP MJPEG stream;Live preview of HTTP MJPEG stream;Live preview of HTTP MJPEG stream;Live preview of HTTP MJPEG stream;Live preview of HTTP MJPEG stream
DesktopScreenshotCaption2;151;Text;Configure HTTP port, JPEG compression, frame-rate, and more;Configure HTTP port, JPEG compression, frame-rate, and more;Configure HTTP port, JPEG compression, frame-rate, and more;Configure HTTP port, JPEG compression, frame-rate, and more;Configure HTTP port, JPEG compression, frame-rate, and more
DesktopScreenshotCaption3;152;Text;;;;;
DesktopScreenshotCaption4;153;Text;;;;;
DesktopScreenshotCaption5;154;Text;;;;;
DesktopScreenshotCaption6;155;Text;;;;;
DesktopScreenshotCaption7;156;Text;;;;;
DesktopScreenshotCaption8;157;Text;;;;;
DesktopScreenshotCaption9;158;Text;;;;;
MobileScreenshot1;200;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot2;201;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot3;202;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot4;203;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot5;204;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot6;205;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot7;206;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshot8;207;Relative path (or URL to file in Dev Center);;;;;
MobileScreenshotCaption1;250;Text;;;;;
MobileScreenshotCaption2;251;Text;;;;;
MobileScreenshotCaption3;252;Text;;;;;
MobileScreenshotCaption4;253;Text;;;;;
MobileScreenshotCaption5;254;Text;;;;;
MobileScreenshotCaption6;255;Text;;;;;
MobileScreenshotCaption7;256;Text;;;;;
MobileScreenshotCaption8;257;Text;;;;;
XboxScreenshot1;300;Relative path (or URL to file in Dev Center);;;;;
XboxScreenshot2;301;Relative path (or URL to file in Dev Center);;;;;
XboxScreenshot3;302;Relative path (or URL to file in Dev Center);;;;;
XboxScreenshot4;303;Relative path (or URL to file in Dev Center);;;;;
XboxScreenshot5;304;Relative path (or URL to file in Dev Center);;;;;
XboxScreenshot6;305;Relative path (or URL to file in Dev Center);;;;;
XboxScreenshot7;306;Relative path (or URL to file in Dev Center);;;;;
